call_path,frequency,frequency_percentage,mean_duration,max_duration,p50_duration,p90_duration,p95_duration,p99_duration
[nginx-web-server] /wrk2-api/post/compose,10000,100.0,8322.6881,83554.0,9512.0,11554.300000000001,12153.099999999999,14236.180000000004
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose,10000,100.0,7714.3665,83228.0,8874.5,10912.1,11411.05,13465.91000000002
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] compose_post_client,10000,100.0,7413.2293,82733.0,8524.0,10467.1,10948.099999999999,12935.150000000003
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] compose_post_client->[compose-post-service] compose_post_server->[compose-post-service] write_home_timeline_client,9846,98.46000000000001,2396.312106439163,10420.0,2765.0,3555.0,3736.0,5131.349999999988
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] compose_post_client->[compose-post-service] compose_post_server->[compose-post-service] compose_media_client,9846,98.46000000000001,584.5999390615478,4248.0,638.0,870.0,921.0,1199.0
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] compose_post_client->[compose-post-service] compose_post_server->[compose-post-service] write_user_timeline_client,9846,98.46000000000001,1845.2868169815154,8433.0,1920.0,2657.0,2887.0,3495.849999999995
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] compose_post_client->[compose-post-service] compose_post_server->[compose-post-service] store_post_client,9846,98.46000000000001,1406.583180987203,5703.0,1591.0,2058.0,2192.75,2819.0
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] compose_post_client->[compose-post-service] compose_post_server->[compose-post-service] compose_unique_id_client,9846,98.46000000000001,565.5577899654683,4017.0,611.0,862.0,912.0,1143.5499999999847
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] compose_post_client->[compose-post-service] compose_post_server,9846,98.46000000000001,6670.582977859029,81807.0,7648.0,9442.0,9876.75,11944.199999999939
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] compose_post_client->[compose-post-service] compose_post_server->[compose-post-service] compose_creator_client,9846,98.46000000000001,679.7958561852529,4511.0,719.0,983.0,1040.75,1296.2999999999956
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] compose_post_client->[compose-post-service] compose_post_server->[compose-post-service] compose_text_client,9846,98.46000000000001,3471.54214909608,18780.0,3534.5,5051.5,5338.0,5958.0999999999985
